country	population	percent_pop	rank	growth	year
Russia	14,34,55,000	19.44	1	0.15	2013
Germany	8,06,40,000	10.93	2	0.24	2012
France	6,66,16,416	9.03	3	0.49	2014
United Kingdom	6,42,31,000	8.71	4	0.73	2011
Italy	5,97,89,000	8.1	5	0.35	2013
Spain	4,69,58,000	6.36	6	-0.43	2013
Ukraine	4,54,61,000	6.16	7	-0.52	2013
Poland	3,85,48,000	5.22	8	0.08	2012
Romania	1,98,58,000	2.69	9	-0.77	2011
Netherlands	1,67,95,000	2.28	10	0.33	2014
Belgium	1,11,62,000	1.51	11	0.66	2013
Greece	1,07,58,000	1.46	12	-0.13	2011
Portugal	1,06,09,000	1.44	13	0.19	2011
Czech Republic	1,05,19,000	1.43	14	0.23	2013
Hungary	98,94,000	1.34	15	-0.25	2013
Sweden	95,95,000	1.3	16	0.76	2013
Belarus	94,60,000	1.28	17	-0.04	2013
Austria	84,77,000	1.15	18	0.61	2013
Switzerland	80,75,000	1.09	19	0.82	2013
Bulgaria	72,61,000	0.98	20	-0.59	2012
Serbia	72,03,000	0.98	21	-0.35	2012
Denmark	56,12,000	0.76	22	0.45	2013
Finland	54,36,000	0.74	23	0.44	2013
Slovakia	54,13,000	0.73	24	0.15	2013
Norway	50,77,000	0.69	25	1.03	2013
Ireland	46,62,000	0.63	26	1.35	2012
Croatia	42,58,000	0.58	27	-0.35	2011
Bosnia and Herzegovina	38,47,000	0.52	28	0.08	2011
Moldova	34,86,000	0.47	29	-1.39	2012
Lithuania	29,56,000	0.4	30	-1.3	2013
Albania	27,83,000	0.38	31	-0.78	2011
Macedonia	20,66,000	0.28	32	0.19	2011
Slovenia	20,62,000	0.28	33	0.24	2014
Latvia	20,11,000	0.27	34	-1.23	2013
Kosovo	18,26,000	0.25	35	1.16	2012
Estonia	12,83,000	0.17	36	-0.62	2013
Montenegro	6,20,000	0.08	37	0	2011
Luxembourg	5,42,000	0.07	38	1.88	2012
Malta	4,19,000	0.06	39	0.48	2011
Iceland	3,24,000	0.04	40	1.25	2013
Jersey (UK)	1,00,000	0.01	41	1.01	2011
Isle of Man (UK)	87,000	0.01	42	1.16	2011
Andorra	75,000	0.01	43	-1.32	2012
Guernsey (UK)	63,000	0.01	44	0	2010
Faroe Islands (Denmark)	48,000	0.01	45	0	2013
Liechtenstein	37,000	0.01	46	0	2012
Monaco	36,000	0	47	0	2012
San Marino	32,000	0	48	0	2013
Gibraltar (UK)	30,000	0	49	0	2011
Aland Islands (Finland)	29,000	0	50	3.57	2012
Svalbard and Jan Mayen (Norway)	3,000	0	51	0	2012
Vatican City	800	0	52	0	2012
Total	73,77,91,800	100	NA	0.16	
